Epoch,Train Loss,Val Loss,Mean Pixel Accuracy,Mean IoU,Mean Dice Score,Per-class IoU,Per-class Dice
77,0.5344979260649,0.520385613044103,"tensor(0.9573, device='cuda:0')",0.43208640813827515,0.5354905724525452,"[0.9624261856079102, 0.3934725821018219, 0.10213042050600052, 0.2703164517879486]","[0.9808390736579895, 0.5637763142585754, 0.18168285489082336, 0.4156639873981476]"
78,0.53792188337871,0.5156149301264021,"tensor(0.9587, device='cuda:0')",0.43759870529174805,0.5421857833862305,"[0.9630342125892639, 0.42135944962501526, 0.13287802040576935, 0.23312313854694366]","[0.9811576008796692, 0.5921849012374878, 0.2313234806060791, 0.3640771806240082]"
79,0.5367653148514884,0.5254930390252007,"tensor(0.9604, device='cuda:0')",0.4295678734779358,0.5340707898139954,"[0.9652724862098694, 0.38661205768585205, 0.14093676209449768, 0.22545017302036285]","[0.98232102394104, 0.5568204522132874, 0.2440311163663864, 0.3531106412410736]"
80,0.5394615352153778,0.5044780406686995,"tensor(0.9576, device='cuda:0')",0.4453512132167816,0.5531004667282104,"[0.963099479675293, 0.41494590044021606, 0.15345604717731476, 0.24990351498126984]","[0.9811888933181763, 0.5841314196586609, 0.26153644919395447, 0.3855452239513397]"
81,0.5211135923862458,0.5297886696126726,"tensor(0.9602, device='cuda:0')",0.42668357491493225,0.5253773927688599,"[0.9640276432037354, 0.4149581491947174, 0.13650651276111603, 0.191242054104805]","[0.9816754460334778, 0.5859677195549011, 0.23255252838134766, 0.3013137876987457]"
82,0.5297157338687352,0.5431137647893693,"tensor(0.9612, device='cuda:0')",0.42141780257225037,0.5154846906661987,"[0.9647318720817566, 0.4221971333026886, 0.05766605585813522, 0.24107609689235687]","[0.9820379614830017, 0.5932424664497375, 0.10693226009607315, 0.3797261714935303]"
83,0.5196627957480294,0.5337458915180631,"tensor(0.9559, device='cuda:0')",0.42324045300483704,0.5259130001068115,"[0.9623041152954102, 0.39068761467933655, 0.11876215040683746, 0.22120793163776398]","[0.9807773232460022, 0.5608828067779541, 0.21010923385620117, 0.35188281536102295]"
84,0.5317501187324524,0.49109598994255066,"tensor(0.9579, device='cuda:0')",0.45172959566116333,0.5647462606430054,"[0.9613587260246277, 0.4176761209964752, 0.1514226496219635, 0.27646082639694214]","[0.9802836179733276, 0.5887288451194763, 0.26005491614341736, 0.4299178719520569]"
85,0.5299808246748788,0.523155560096105,"tensor(0.9600, device='cuda:0')",0.4320869445800781,0.5342549085617065,"[0.9651795625686646, 0.40455809235572815, 0.08952676504850388, 0.26908332109451294]","[0.9822663068771362, 0.5741288065910339, 0.1612696647644043, 0.4193548560142517]"
86,0.5312709340027401,0.5234597755803002,"tensor(0.9551, device='cuda:0')",0.4374581575393677,0.5398617386817932,"[0.959214985370636, 0.4196085035800934, 0.14619509875774384, 0.22481407225131989]","[0.9791669845581055, 0.5902809500694275, 0.25124913454055786, 0.3387497663497925]"
87,0.5293667938028063,0.5169471800327301,"tensor(0.9592, device='cuda:0')",0.43695640563964844,0.5419055223464966,"[0.9638226628303528, 0.4080880582332611, 0.13840723037719727, 0.2375076413154602]","[0.9815653562545776, 0.5787823796272278, 0.2392357438802719, 0.3680385649204254]"
88,0.5202974804810115,0.5101061960061392,"tensor(0.9598, device='cuda:0')",0.4399392604827881,0.5448000431060791,"[0.9642035365104675, 0.4265140891075134, 0.12494504451751709, 0.2440943419933319]","[0.9817634224891663, 0.5973426699638367, 0.2203666865825653, 0.37972745299339294]"
89,0.5418336944920676,0.5683590835995145,"tensor(0.9551, device='cuda:0')",0.4044528007507324,0.49981850385665894,"[0.9621250629425049, 0.3709074556827545, 0.1071397215127945, 0.17763900756835938]","[0.9806811213493347, 0.5393164753913879, 0.19008567929267883, 0.28919079899787903]"
90,0.5383587956428528,0.5473163591490852,"tensor(0.9554, device='cuda:0')",0.41823285818099976,0.516004204750061,"[0.9595404863357544, 0.40343695878982544, 0.1036749929189682, 0.206278994679451]","[0.9793354868888855, 0.573445200920105, 0.18451720476150513, 0.3267190754413605]"
91,0.5391553018774305,0.5847413804796007,"tensor(0.9541, device='cuda:0')",0.3945296108722687,0.48228782415390015,"[0.9590736031532288, 0.3969152569770813, 0.14534316956996918, 0.07678642123937607]","[0.9790903925895691, 0.5676550269126892, 0.24711333215236664, 0.13529253005981445]"
92,0.5671980014869145,0.5424215926064385,"tensor(0.9592, device='cuda:0')",0.4219341278076172,0.5210183262825012,"[0.9627922177314758, 0.3989482820034027, 0.09034403413534164, 0.23565202951431274]","[0.9810305833816528, 0.5695942640304565, 0.16325953602790833, 0.3701888620853424]"
93,0.5533898345061711,0.5149138006899092,"tensor(0.9553, device='cuda:0')",0.4363551735877991,0.5428998470306396,"[0.9605337977409363, 0.39707013964653015, 0.12772348523139954, 0.2600933015346527]","[0.979853093624115, 0.5677679181098938, 0.22416779398918152, 0.3998105823993683]"
94,0.5350196480751037,0.518034471405877,"tensor(0.9594, device='cuda:0')",0.43892279267311096,0.5423471331596375,"[0.9632804989814758, 0.4216848313808441, 0.12899307906627655, 0.24173280596733093]","[0.9812845587730408, 0.5926579236984253, 0.22083234786987305, 0.3746137022972107]"
95,0.5351789099829537,0.5275167889065213,"tensor(0.9593, device='cuda:0')",0.4298279285430908,0.5306246876716614,"[0.9634190797805786, 0.4273113012313843, 0.12323632836341858, 0.2053450495004654]","[0.9813535809516907, 0.5974330902099609, 0.2162274271249771, 0.32748472690582275]"
96,0.5250835316521781,0.4988490541776021,"tensor(0.9576, device='cuda:0')",0.4508479833602905,0.560742974281311,"[0.9618697762489319, 0.4314490556716919, 0.14531546831130981, 0.26475757360458374]","[0.9805556535720825, 0.6019909977912903, 0.2504340410232544, 0.40999117493629456]"
97,0.5183166350637164,0.5037314726246728,"tensor(0.9616, device='cuda:0')",0.4492286145687103,0.5552242994308472,"[0.96529620885849, 0.4377289414405823, 0.13876481354236603, 0.2551245093345642]","[0.9823287129402161, 0.6086421608924866, 0.24042421579360962, 0.38950222730636597]"
98,0.5154598678861345,0.5045632554425133,"tensor(0.9599, device='cuda:0')",0.44868004322052,0.5520904064178467,"[0.963374674320221, 0.4406537413597107, 0.12760025262832642, 0.26309147477149963]","[0.981329619884491, 0.6105617880821228, 0.22040021419525146, 0.39607009291648865]"
99,0.516898729971477,0.5112326741218567,"tensor(0.9613, device='cuda:0')",0.4450387954711914,0.5487367510795593,"[0.9664130806922913, 0.42060020565986633, 0.14498639106750488, 0.24815554916858673]","[0.9829044342041016, 0.5910521745681763, 0.24712903797626495, 0.37386128306388855]"
100,0.5067606789725168,0.5067348314656152,"tensor(0.9609, device='cuda:0')",0.44526243209838867,0.5503218173980713,"[0.9642385840415955, 0.42598968744277954, 0.13938631117343903, 0.2514351010322571]","[0.9817793965339661, 0.5956714749336243, 0.23801633715629578, 0.3858201503753662]"
